scenario,implementation,dataset_months,input_rows,execution_seconds,database_size_mb,strategy
initial_build,duckdb,6,96,0.15935929998522624,1.76171875,fresh_database_initial_build
initial_build,dbt,6,96,4.905225700000301,1.76171875,fresh_database_initial_build
initial_build,sqlmesh,6,96,3.084656399965752,3.01171875,fresh_database_initial_build
no_change,duckdb,6,96,0.15897609997773543,3.51171875,manual_full_rebuild
no_change,dbt,6,96,5.143773299991153,3.51171875,daily_watermark
no_change,sqlmesh,6,96,2.787863500008825,3.26171875,sqlmesh_plan
new_data,duckdb,7,112,0.16482250002445653,3.76171875,manual_full_rebuild
new_data,dbt,7,112,5.248179499991238,3.76171875,dbt_full_refresh
new_data,sqlmesh,7,112,2.73762239998905,5.26171875,sqlmesh_restatement
historical_backfill,duckdb,7,112,0.17582509998464957,3.26171875,manual_full_rebuild
historical_backfill,dbt,7,112,5.382389999984298,3.51171875,dbt_full_refresh
historical_backfill,sqlmesh,7,112,2.716847399948165,7.26171875,sqlmesh_restatement
business_logic_change,duckdb,7,112,0.1671597000095062,3.51171875,manual_full_rebuild
business_logic_change,dbt,7,112,5.179171800031327,3.76171875,dbt_full_refresh
business_logic_change,sqlmesh,7,112,3.108677499985788,7.26171875,sqlmesh_plan
development_environment,duckdb,7,112,0.17460239998763427,3.26171875,manual_full_rebuild
development_environment,dbt,7,112,5.024309900007211,4.01171875,dbt_full_refresh
development_environment,sqlmesh,7,112,3.0897448000032455,8.51171875,sqlmesh_plan
